Pada mulanya , Allah menciptakan langit dan bumi . ||| Uru-uru tèka , Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha .
Setelah Allah menghalau manusia itu keluar , di sebelah timur taman Eden ditempatkan-Nyalah kerub-kerub dengan pedang api yang menyambar-nyambar untuk menjaga jalan menuju pohon kehidupan . ||| Babège nare si , ka Lamatua paredha ana pajuu Na nèti sorga , dhu dènge èla , ho lasi jꞌaga oka èèna re ca bèka dhimu . Rèngu dènge samala dhu heo haꞌa-haꞌa , dhu seru laꞌe-mai . Lamatua pua si bèdho eele jꞌara laꞌe sa dꞌara , te Nèngu dꞌèi boe dhèu puu rare hua ajꞌu dhu hia ra mamuri taa-taa èèna .
Adam bersetubuh dengan Hawa , istrinya , lalu Hawa mengandung dan melahirkan Kain . Dia berkata , “ Aku telah mendapatkan seorang laki-laki dari TUHAN ! ” ||| Hèia Adam jꞌunu dènge dhèu èmu na , Hawa . Ka bhèni ne dènge babia . Hèia nara iisi ana mone ca dhèu . Ka na peka , aku nèngu na , “ Jaꞌa abhu le ana mone ca dhèu , lula Ama LAMATUA soru nare le jaꞌa. ” Ka na pangare ana ne , Kaen ( dhu sasoa na ‘ abhu ’ ) .
Kemudian , Hawa melahirkan adiknya , yaitu Habel . Habel menggembalakan domba , sedangkan Kain menggarap tanah . ||| Hèia Hawa nara iisi hari ana mone èci . Ka na pangare ne Habel . Dua ra kapai ka , Habel jꞌajꞌi dhèu madhenge badha . Aa aꞌa na Kaen , sabꞌa oka-tedhe .
Pada suatu waktu , Kain membawa kepada TUHAN suatu persembahan hasil dari tanah itu , ||| Ca lodꞌo , Kaen nèti isi rai na cahagꞌe , ka hia LAMATUA .
Habel juga membawa yang sulung dari kawanan dombanya beserta lemak-lemaknya . TUHAN memperhatikan Habel dan persembahannya , ||| Habel nèti ana-ana uuru kahibꞌi-kalèbho na . Na roro kahibꞌi-kalèbho se , ka nèti sisi dhu beꞌa hia Lamatua . Dꞌara Ama Lamatua karejꞌe ropa ladhe nèdhi korban nèti Habel ne .
tetapi terhadap Kain dan persembahannya , Dia tidak memperhatikannya . Lalu , Kain menjadi sangat marah dan wajahnya muram . ||| Te ngaa Na dꞌèi boe korban unu Kaen . Hèia Kaen nasa bia , ka rèhu na mare boe .
TUHAN berkata kepada Kain , “ Mengapa kamu marah ? Mengapa mukamu muram ? ||| Ka LAMATUA lii dènge Kaen , aku Nèngu na , “ Kaen ! Nga tao ka èu nasa sèmi èèna , ka rèhu èu mare boe ?
Jika kamu berbuat baik , bukankah kamu akan diterima ? Namun , jika kamu tidak berbuat baik , dosa sudah mengintip di pintu , keinginannya adalah untukmu , tetapi kamu harus berkuasa atasnya . ” ||| Ladhe tatao èu beꞌa , na Jaꞌa sèmi èu dènge hua iia . De mu pangee uuru ku ! Ladhe èu tao bhelu , na bhabhelu èèna naꞌe hari èu , sama sèmi meo neo pacèli maraho . De sèmi èu neo tao bhabhelu , beꞌa risi core eele ka ! ”
Kain berbicara dengan Habel , saudaranya . Lalu , terjadilah , ketika mereka berada di padang , Kain bangkit untuk menyerang Habel , saudaranya itu , dan membunuhnya . ||| Ca tèka , Kaen gale Habel , na peka na , “ Mai lati ngadꞌo oka , we. ” Ropa dua ra dꞌai dꞌara oka , Kaen kalabhe pamadhe ari na .
Lalu , TUHAN bertanya kepada Kain , “ Di mana Habel , adikmu ? ” Kain menjawab , “ Aku tidak tahu . Apakah aku penjaga adikku ? ” ||| Ka LAMATUA karèi Kaen , aku Nèngu na , “ Kaen ! Ari mu ka mia ? ” Hèia Kaen dhaa , aku nèngu na , “ Jaꞌa keꞌa boe na ètu mia ! Èu ngee na , jaꞌa dhèu kèpe haga na , do ? ”
TUHAN berkata , “ Apa yang sudah kamu lakukan ? Suara darah adikmu itu menjerit kepada-Ku dari dalam tanah . ||| Ka Lamatua bꞌala , “ Nga tao ka èu bhelu sèmi èèna ? Baku pangee na , èu pahuni more le raa ari èu ètu dꞌara rai , te Jaꞌa dhu kèdhi aaꞌi-aaꞌi le !
Sekarang , kamu terkutuk dari tanah yang telah membuka mulutnya untuk menerima darah adikmu dari tanganmu . ||| De lii dhoo lèke le mi dedha èu . Lodꞌo èu pamadhe ari èu , rai sakidꞌo nare raa na . De limuri ne , rai bisa heka nèti mamuri mi èu .
Jika kamu menggarap tanah itu , ia tidak akan lagi memberikan hasilnya untukmu . Kamu akan mengembara dan menggelandang di bumi . ” ||| De ladhe èu sabꞌa oka-tedhe , rai ne hia heka èu ngaa-ngaa . Nèti deo neꞌe , èu luꞌu sa haa-sa dhimu , sèmi dhèu dhu dènge boe era paleo-paluꞌu . ”
Kemudian , Kain berkata kepada TUHAN , “ Hukumanku itu lebih berat daripada yang sanggup kutanggung . ||| Te ngaa Kaen bꞌala LAMATUA , aku nèngu na , “ Haii ! Ama Lamatua , ee ! Lamatua dhoo jaꞌa bia titu kèna , de jaꞌa pasae mèke boe nga .
Lihat ! Hari ini Engkau telah menggiring aku dari tanah ini . Lalu , aku akan tersembunyi dari hadapan-Mu , dan aku akan menjadi buronan dan pengembara di bumi , dan akan terjadi , siapa saja yang bertemu denganku akan membunuhku . ” ||| Lula Lamatua bège eele jaꞌa nèti era neꞌe , jaꞌa kajꞌèu nèti Ama Lamatua . Jaꞌa kako lole-laa asa mia-mia . De ladhe paraga dènge dhèu , èèna na ra pamadhe jaꞌa . ”
Namun , TUHAN berkata kepada Kain , “ Karena itu , siapa pun yang membunuh Kain , kepadanya akan dibalaskan tujuh kali lipat. ” Kemudian , TUHAN memberi tanda pada Kain supaya tidak seorang pun yang bertemu dengannya akan membunuhnya . ||| Te ngaa LAMATUA dhaa na , “ Aadꞌo sèmi èèna ! Dhèu cee dhu pamadhe èu , èèna na Jaꞌa huku ne , babia na pidhu hari risi nèti èu. ” Hèia LAMATUA tao tadha mi Kaen , sèna ka dhèu reꞌa ho baku pamadhe ne .
Lalu , Kain pergi dari hadapan TUHAN dan menetap di tanah Nod , sebelah timur Eden . ||| Hèia Kaen tèke eele dènge era èèna . Laꞌe pakajꞌèu nèti LAMATUA , asa era èci , ètu bèka dhimu oka Eden . Era neꞌe , ngara na Nod dhu sasoa na , ‘ lole-laa ’ . Ka na pea ètu era èèna .
Kain bersetubuh dengan istrinya , lalu istrinya itu mengandung dan melahirkan Henokh . Kain membangun suatu kota dan menyebut nama kota itu seperti nama anaknya , Henokh . ||| Hèia Kaen leo-èmu , ka dhèu èmu na dènge babia . Ka nara iisi ana mone ca dhèu , dhu pangare na Henok . Hèia Kaen patitu rae cue , ngara na Henok , madhutu ngara ana na .
Bagi Henokh , lahirlah Irad , dan Irad adalah ayah Mehuyael . Mehuyael adalah ayah Metusael , dan Metusael adalah ayah Lamekh . ||| Ka Henok matana Irad . Hèia Irad matana Mehuyael . Mehuyael matana Metusael . Aa ana Metusael , Lamek .
Lamekh mengambil dua istri baginya , yang satu bernama Ada dan yang lain bernama Zila . ||| Dhèu èmu Lamek , dhèu dua . Èci ngara na Ada , aa ca dhèu hari , ngara na Sila .
Ada melahirkan Yabal yang adalah nenek moyang semua yang tinggal dalam tenda dan beternak . ||| Ana Ada , ngara na Yabal . Ana-èpu na , jꞌajꞌi dhèu piara badha . Mamuri ra ètu boe ca era , aa ra pea dhoka ètu dꞌara paleo di .
Saudaranya bernama Yubal , dia adalah nenek moyang semua yang memainkan kecapi dan seruling . ||| Ari Yabal , ngara na Yubal . Ana-èpu Yubal , jꞌajꞌi dhèu gai sasadhu , dènge tiu sakino .
Zila juga melahirkan Tubal-Kain , dia yang menempa segala perkakas dari perunggu dan besi . Saudara perempuan Tubal-Kain adalah Naama . ||| Dhèu èmu Lamek èci hari , Sila , nara iisi Tubal Kaen . Ana-èpu na jꞌajꞌi tuka bèsi , ka ra tuku mèdha ae-ae tao nèti bèsi , dènge tabaga . Ana hèni Tubal Kaen , ngara na Naꞌama .
Lamekh berkata kepada kedua istrinya , “ Ada dan Zila , dengarlah suaraku ! Hai istri-istri Lamekh , dengarkanlah perkataanku ! Aku telah membunuh seorang laki-laki karena lukaku , dan seorang laki-laki muda karena melukaiku . ||| Ca tèka , Lamek padedha iisi na ètu madha dhèu èmu dua ra , peka na , “ Mi nanene , ee ! Deo na , ana mone ngèru èci neo game jaꞌa . Te ngaa jaꞌa dhadhedhe ne , toke madhe .
Jika kepada Kain dibalaskan tujuh kali lipat , kepada Lamekh dibalaskan 77 kali lipat ! ” ||| Dhèu dhu pamadhe Kaen , abhu huku pidhu hari . Te ngaa cee ka dhu neo bꞌala ho pamadhe jaꞌa , abhu huku pidhu nguru pidhu hari . ”
Adam bersetubuh lagi dengan istrinya , dan istrinya itu melahirkan anak laki-laki lainnya , dan menyebut namanya Set , sebab katanya , “ Allah menentukan benih yang lain bagiku sebagai ganti Habel karena Kain telah membunuhnya . ” ||| Ka Hawa nara iisi hari ana mone ca dhèu . Hèia ra pangare ne , Set ( dhu sasoa na , ‘ hia ’ ) , lula aku Hawa na , “ Ama Lamatua hia jaꞌa ana ne , sèna ka gati madha Habel , dhu Kaen pamadhe ne . ”
Seorang anak laki-laki juga lahir bagi Set , dan dia menyebut namanya Enos . Pada masa itulah manusia mulai memanggil nama TUHAN . ||| Pe dꞌai nèbhu ku , Set abhu ana mone ca dhèu , dhu pangare na Enos . Tèu èèna , dhèu mulai manèngi-mangajꞌi mi Ama LAMATUA .
Inilah catatan keturunan Adam . Pada hari Allah menciptakan manusia , Dia membuatnya dalam keserupaan dengan Allah . Dia menciptakan mereka , laki-laki dan perempuan , dan Dia memberkati mereka , dan menamai mereka manusia , pada hari mereka diciptakan . ||| Lodꞌo Ama Lamatua pajꞌajꞌi dhèu rai-haha , Na tao si sama sèmi rupa Nèngu . Na pajꞌajꞌi si , dhèu mone dènge dhèu bhèni . Ka Na pangare si ‘ dhèu rai-haha ’ , aa Na hia si berkat . Dhèu dhu uru , ngara na Adam . Ana-èpu Adam , nuka sèmi neꞌe ka :
Ketika Adam hidup selama 130 tahun dan seorang anak laki-laki lahir baginya dalam keserupaan dengannya , menurut rupanya . Lalu , dia menamainya Set . ||| Lodꞌo Adam dꞌai 130 ( ca ngasu tèlu nguru ) tèu , na matana ana mone ca dhèu , dhu rèhu na nare Adam . Ka pangare na , Set .
Adam hidup 800 tahun lagi , dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya . ||| Ka Adam mamuri hari dꞌai 800 ( aru ngasu ) tèu , hèia na abhu hari ana mone dènge ana bhèni .
Jadi , seluruh masa hidup Adam adalah 930 tahun , kemudian dia mati . ||| Umur Adam 930 ( ceo ngasu tèlu nguru ) tèu , heka madhe kèna .
Ketika Set hidup selama 105 tahun , Enos lahir baginya . ||| Lodꞌo Set dꞌai 105 ( ca ngasu lèmi ) tèu , na abhu ana mone ca dhèu , ngara na Enos .
Set hidup 807 tahun lagi setelah Enos lahir , dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya . ||| Ka Set mamuri hari dꞌai 807 ( aru ngasu pidhu ) tèu , na abhu hari ana mone dènge ana bhèni .
Jadi , seluruh masa hidup Set adalah 912 tahun , kemudian dia mati . ||| Umur Set 912 ( ceo ngasu canguru dua ) tèu , heka madhe kèna .
Ketika Enos hidup selama 90 tahun , Kenan lahir baginya . ||| Lodꞌo Enos mamuri dꞌai 90 ( ceo nguru ) tèu , na matana ana mone ca dhèu , ngara na Kenan .
Enos hidup 815 tahun lagi setelah Kenan lahir , dan dia mendapatkan anak laki-laki dan anak perempuan . Masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya . ||| Ka Enos mamuri hari dꞌai 815 ( aru ngasu canguru lèmi ) tèu , na abhu hari ana mone dènge ana bhèni .
Jadi , masa hidup Enos adalah 905 tahun , kemudian dia mati . ||| Umur Enos 905 ( ceo ngasu lèmi ) tèu , heka madhe kèna .
Ketika Kenan hidup selama 70 tahun , Mahalaleel lahir baginya . ||| Lodꞌo Kenan dꞌai 70 ( pidhu nguru ) tèu , na matana ana mone ca dhèu , ngara na Mahalalel .
Kenan hidup 840 tahun lagi setelah Mahalaleel lahir , dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya . ||| Ka Kenan mamuri hari dꞌai 840 ( aru ngasu èpa nguru ) tèu , ka na abhu hari ana mone dènge ana bhèni .
Jadi , masa hidup Kenan adalah 910 tahun , kemudian dia mati . ||| Umur Kenan 910 ( ceo ngasu canguru ) tèu , heka madhe kèna .
Ketika Mahalaleel hidup selama 65 tahun , Yared lahir baginya . ||| Lodꞌo Mahalalel dꞌai 65 ( èna nguru lèmi ) tèu , na abhu ana mone ca dhèu , ngara na Yared .
Mahalaleel hidup 830 tahun lagi setelah Yared lahir , dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya . ||| Ka Mahalalel mamuri hari dꞌai 830 ( aru ngasu tèlu nguru ) tèu , na abhu hari ana mone dènge ana bhèni .
Jadi , masa hidup Mahalaleel adalah 895 tahun , kemudian dia mati . ||| Umur Mahalalel 895 ( aru ngasu ceo nguru lèmi ) tèu , heka na madhe kèna .
Ketika Yared hidup selama 162 tahun , Henokh lahir baginya . ||| Lodꞌo Yared dꞌai 162 ( cangasu èna nguru dua ) tèu , na abhu ana mone ca dhèu , ngara na Henok .
Yared hidup 800 tahun lagi setelah Henokh lahir , dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya . ||| Ka Yared mamuri dꞌai 800 ( aru ngasu ) tèu , na abhu hari ana mone dènge ana bhèni .
Jadi , masa hidup Yared adalah 962 tahun , kemudian dia mati . ||| Umur Yared 962 ( ceo ngasu èna nguru dua ) tèu , heka madhe kèna .
Ketika Henokh hidup selama 65 tahun , Metusalah lahir baginya . ||| Ropa Henok mamuri dꞌai 65 ( èna nguru lèmi ) tèu , na matana ana mone ca dhèu , ngara na Metusalak .
Henokh berjalan dengan Allah selama 300 tahun setelah Metusalah lahir , dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya . ||| Ele èèna , Henok mamuri dꞌara èci dènge Ama Lamatua dꞌai 300 ( tèlu ngasu ) tèu . Ka na abhu hari ana mone dènge ana bhèni .
Jadi , masa hidup Henokh adalah 365 tahun . Henokh berjalan dengan Allah , setelah itu dia tidak ada lagi , sebab Allah mengambilnya . ||| Na mamuri dꞌara èci dènge Ama Lamatua . Hèia lodꞌo na dꞌai 365 ( tèlu ngasu èna nguru lèmi ) tèu , ka na ele , lula Ama Lamatua pacaꞌe ne sa dedha .
Ketika Metusalah hidup selama 187 tahun , Lamekh lahir baginya . ||| Lodꞌo Metusalak dꞌai 187 ( cangasu aru nguru pidhu ) tèu , na matana ana mone èci , ngara na Lamek .
Metusalah hidup 782 tahun lagi setelah Lamekh lahir , dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya . ||| Èle èèna ka , Metusalak mamuri hari dꞌai 782 ( pidhu ngasu aru nguru dua ) tèu , ka na abhu hari ana mone dènge ana bhèni .
Jadi , masa hidup Metusalah adalah 969 tahun , kemudian dia mati . ||| Umur Metusalak 969 ( ceo ngasu èna nguru ceo ) tèu , heka madhe kèna .
Setelah Lamekh hidup selama 182 tahun , seorang anak laki-laki lahir baginya . ||| Lodꞌo Lamek mamuri dꞌai 182 ( ca ngasu aru nguru dua ) tèu , na matana ana mone ca dhèu .
Dia menamai anak itu Nuh dan berkata , “ Dia ini akan menghibur kita dalam kerja keras dan jerih payah tangan kita akibat tanah yang telah TUHAN kutuk ini . ” ||| Lamek pangare ne Noh ( dhu sasoa na ‘ pakarejꞌe dꞌara ’ ) , lula na peka na , “ Ana ne , èèna na pakarejꞌe dꞌara èdhi nèti sasabꞌa dhu bia , ètu rai dhu Ama Lamatua dhoo le . ”
Lamekh hidup 595 tahun lagi setelah Nuh lahir , dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya . ||| Ka Lamek mamuri taruu dꞌai 595 ( lèmi ngasu ceo nguru lèmi ) tèu , aa na abhu hari ana mone dènge ana bhèni .
Jadi , masa hidup Lamekh adalah 777 tahun , kemudian dia mati . ||| Umur Lamek 777 ( pidhu ngasu pidhu nguru pidhu ) tèu , heka na madhe kèna .
Ketika Nuh hidup selama 500 tahun , Sem , Ham , dan Yafet lahir baginya . ||| Lodꞌo Noh mamuri dꞌai 500 ( lèmi ngasu ) tèu , na matana ana mone dhèu tèlu , Sem , Yafet dènge Ham .
Ketika manusia mulai berlipat ganda di muka bumi dan anak-anak perempuan dilahirkan bagi mereka , ||| Taa èèna , dhèu rai-haha , asa bèba-kacanga . Ka ra papala-palème rai-haha . Dhèu se matana kahèi ana-ana bhèni .
anak-anak Allah melihat bahwa anak-anak perempuan manusia itu cantik , lalu mereka mengambil istri-istri yang mereka pilih untuk diri mereka sendiri . ||| Ana-ana mone nèti Lamatua ladhe rèdhi ana bhèni nèti dhèu rai-haha se , bhèni iia hua . Ka lasi todhe rare ana bhèni mia dhu ra dꞌèi .
Kemudian , TUHAN berfirman , “ Roh-Ku tidak akan selama-lamanya beperkara dengan manusia karena dia adalah daging , hari-harinya akan menjadi 120 tahun . ” ||| Ka LAMATUA peka na , “ Jaꞌa roca le dènge tatao dhèu dhu lèke-lèke boe se . Roh Jaꞌa dhu pamamuri rèngu sa , dꞌèi heka hia ra mamuri manèro . Hudꞌi rèngu madhe ku . De èèna na , mamuri rèngu se dhoka dꞌai 120 ( ca ngasu dua nguru ) tèu di . ”
Ada raksasa-raksasa di bumi pada zaman itu , bahkan sesudahnya , ketika anak-anak Allah datang kepada anak-anak perempuan manusia dan melahirkan anak-anak bagi mereka . Inilah orang-orang yang perkasa sejak dahulu kala , orang-orang yang terkenal . ||| Taa èèna , dènge taa-tebho dhu limuri nèti èèna hari , abhu le dhèu raksasa ètu rai-haha ne . Ropa ana mone nèti Lamatua leo rare ana bhèni dhèu rai-haha se , ka rara iisi dhèu kapai , nuka : kapala musu , dhèu reꞌa madhutu lii lolo uru-uru sèra .
TUHAN melihat bahwa kejahatan manusia demikian besar di bumi , dan setiap maksud pikiran dari hatinya semata-mata jahat sepanjang waktu . ||| Taa èèna , LAMATUA ladhe nèdhi bhabhelu-katubꞌa dhèu rai-haha dhu seli-kolane . Dꞌara rèngu pangee dhoka bhabhelu di .
TUHAN menyesal bahwa Dia telah menjadikan manusia di bumi , dan hal itu mendukakan hati-Nya . ||| Ka LAMATUA manyasa , lula Na pajꞌajꞌi le rèngu se ho pea ètu rai-haha ne . Tatao rèngu neꞌe ka dhu papèdꞌa dꞌara Lamatua .
Karena itu , TUHAN berfirman , “ Aku akan memusnahkan manusia yang telah Kuciptakan dari muka bumi ; baik manusia dan binatang , yang merayap dan burung-burung di udara , sebab Aku menyesal telah menjadikan mereka . ” ||| Nèti èèna ka , Na peka na , “ Dènge tatao rèngu sèmi èèna na , Jaꞌa huku pamadhe dhèu rai-haha aaꞌi-aaꞌi dhu pajꞌajꞌi kore si le . Manu-bhui dènge badha leo sèra , Jaꞌa palaho aaꞌi si kahèi . Te Jaꞌa manyasa , nèti Jaꞌa ka pajꞌajꞌi si . ”
Namun , Nuh mendapat perkenanan di mata TUHAN . ||| Te ngaa Noh di dhu pakarejꞌe dꞌara LAMATUA .
Inilah keturunan Nuh . Nuh adalah orang yang benar , tidak bercela pada zamannya , dan Nuh berjalan dengan Allah . Tiga anak laki-laki lahir bagi Nuh , yaitu Sem , Ham , dan Yafet . ||| Lii lolo Noh sèmi neꞌe ka : Ana mone na , dhèu tèlu , nuka Sem , Yafet dènge Ham . Noh mamuri dènge mola , koe-kapengo boe . Taa èèna , nèngu di dhu mamuri mola . Dꞌara na dhodhoka ètu Ama Lamatua .
Pada saat itu , bumi sudah rusak di hadapan Allah dan bumi dipenuhi dengan kekerasan . Allah mengamati bumi , dan lihatlah , ia sudah rusak , sebab semua manusia telah merusak jalan hidupnya di bumi . ||| Te ngaa dhèu leo se , Ama Lamatua ladhe ra bhelu aaꞌi mèu-mèu . Ètu mia-mia èèna ka , jꞌara mamuri dhèu se ele iie aaꞌi . Ama Lamatua nèdhi dhodhoka bhabhelu di , ètu rai-haha ne .
Lalu , Allah berkata kepada Nuh , “ Akhir dari semua manusia telah datang di hadapan-Ku sebab bumi sudah dipenuhi dengan kekerasan oleh mereka . Lihat ! Aku akan memusnahkan mereka bersama dengan bumi . ||| Hèia Ama Lamatua peka dènge Noh , aku Nèngu na , “ Jaꞌa kèdhi dhoka bhabhelu dhèu di , dhu pale-lème rai-haha ne . Ka Jaꞌa pamaꞌète kore le , sèna ka Jaꞌa palaho aaꞌi rai-haha ne dènge isi na aaꞌi-aaꞌi .
Buatlah bahtera dari kayu gofir untuk dirimu . Buatlah kamar-kamar di dalam bahtera itu dan lapisilah bagian dalam maupun luarnya dengan ter . ||| De sèmi neꞌe , Noh ! Èu tao kapa aae cue , dhu tao nèti ajꞌu adhu . Re dꞌara roa na , èu bagi mi kama-kama . Aa re dꞌara dènge liꞌu kapa , èu lame dènge èi dama .
Beginilah kamu harus membuatnya : panjang bahtera itu 300 hasta , lebarnya 50 hasta , dan tingginya 30 hasta . ||| Mu sabꞌe kapa na , madhera na 133 ( ca ngasu tèlu nguru tèlu ) meter ; bhabhèla na 22 ( dua nguru dua ) meter ; dènge katitu na 13 ( canguru tèlu ) meter .
Buatlah jendela untuk bahtera itu dan selesaikanlah itu kira-kira sehasta dari atas . Pasanglah pintu bahtera di sisinya . Buatlah bahtera itu dengan geladak bawah , kedua , dan ketiga . ||| Èu tao èmu ètu dedha kapa na . Te ngaa paconga ca laa ai nèti kadidhi re dedha . Èu bagi kapa ne mi tèlu tadꞌa . Aa re karasa na , tao babèdho èci .
Lihat , Aku akan mendatangkan air bah ke atas bumi untuk memusnahkan semua daging yang di dalamnya ada napas kehidupan di bawah langit sehingga semua yang ada di bumi akan mati . ||| Sanèdꞌe paie-iie ! Bèli-camèdꞌa , Jaꞌa papuru èi aae lala , ho pacène eele rai-haha ne , sèna ka pamadhe aaꞌi dhu mamuri .
